du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing,created_date
,4.2,"Phố Trịnh Văn Bô, Xã Vân Canh, Huyện Hoài Đức, Hà Nội",,42.0,100.0,5.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,16.5,"00, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",,90.0,183.33,6.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,6.1,"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",,40.0,152.5,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,3.4,"Đường Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",,33.0,103.03,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,9.6,"Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,45.0,213.33,4.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,5.2,"Đê La Thành, Phường Giảng Võ, Quận Ba Đình, Hà Nội",,26.5,196.23,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.7,"Phố Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",,51.0,111.76,,4.0,Đã có sổ,Nhà phố liền kề,,,2024-12-12 19:28:17.64746
,5.8,"Đinh Công Thương, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",,30.0,193.33,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,4.39,"37 ngõ 117 , Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",,19.0,231.05,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,3.36,"Quốc Lộ 6, Phường Biên Giang, Quận Hà Đông, Hà Nội",,46.0,73.04,,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,,2024-12-12 19:28:17.64746
,3.38,"quốc lộ 6, Phường Biên Giang, Quận Hà Đông, Hà Nội",,35.0,96.57,4.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,,2024-12-12 19:28:17.64746
,9.2,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",,45.0,204.44,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,9.6,"Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,45.0,213.33,4.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,5.2,"Đê La Thành, Phường Giảng Võ, Quận Ba Đình, Hà Nội",,26.5,196.23,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.7,"Phố Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",,51.0,111.76,,4.0,Đã có sổ,Nhà phố liền kề,,,2024-12-12 19:28:17.64746
,10.0,"117, Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",,39.0,256.41,5.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,11.5,"Phố Tây Trà, Phường Trần Phú, Quận Hoàng Mai, Hà Nội",,65.0,176.92,6.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,7.9,", Đường Ngô Quyền, Phường La Khê, Quận Hà Đông, Hà Nội",,45.0,175.56,5.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,,2024-12-12 19:28:17.64746
,40.0,"Đường Trần Nhật Duật, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",,81.3,492.0,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",3.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,13.5,"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",,47.0,287.23,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,,2024-12-12 19:28:17.64746
,7.8,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",,40.0,195.0,5.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,13.0,"Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,65.0,200.0,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,5.2,"Phố Tây Trà, Phường Trần Phú, Quận Hoàng Mai, Hà Nội",,48.0,108.33,2.0,2.0,Đã có sổ,"Nhà mặt phố, mặt tiền",2.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.4,"Đường Láng, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",,60.0,90.0,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,3.8,"Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",,20.0,190.0,4.0,2.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,4.69,"Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",,32.0,146.56,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,4.65,"Phố Thanh Lân, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",,31.0,150.0,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,6.25,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",,33.0,189.39,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,4.8,"thành công, Phường Thành Công, Quận Ba Đình, Hà Nội",,28.0,171.43,,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.0,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,32.0,156.25,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,3.6,"Hạ Hội, Xã Tân Lập, Huyện Đan Phượng, Hà Nội",,30.3,118.81,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,6.15,"Phố An Trạch, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",,30.0,205.0,,4.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,6.25,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",,33.0,189.39,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,4.8,"thành công, Phường Thành Công, Quận Ba Đình, Hà Nội",,28.0,171.43,,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.0,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,32.0,156.25,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,3.6,"Hạ Hội, Xã Tân Lập, Huyện Đan Phượng, Hà Nội",,30.3,118.81,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,6.15,"Phố An Trạch, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",,30.0,205.0,,4.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,8.55,"Ngõ Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",,40.0,213.75,6.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,5.1," Đường Yên Vĩnh, Xã Kim Chung, Huyện Hoài Đức, Hà Nội",,31.5,161.9,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,4.6,"Hữu Hoà, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội",,42.0,109.52,4.0,5.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,,2024-12-12 19:28:17.64746
,22.0,"Đường Nguyễn Xiển, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",,51.0,431.37,,4.0,Đã có sổ,Nhà phố liền kề,5.0,,2024-12-12 19:28:17.64746
,6.25,"Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",,37.0,168.92,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,1.8,"2, Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,20.0,90.0,2.0,2.0,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,4.3,"Khương Trung , Phường Khương Trung, Quận Thanh Xuân, Hà Nội",,24.0,179.17,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,4.45,"Hữu Lê, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội",,35.0,127.14,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,50.0,"Phố Trần Quốc Toản, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",,100.0,500.0,4.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,55.0,"Phố Huế, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",,85.0,647.06,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",3.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,6.0,"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",,44.0,136.36,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,9.3,"Bồ đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",,60.0,155.0,,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,,2024-12-12 19:28:17.64746
,4.35,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",,30.0,145.0,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,,2024-12-12 19:28:17.64746
,5.2,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",,32.0,162.5,,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,,2024-12-12 19:28:17.64746
,22.9,"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",,45.0,508.89,4.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,22.9,"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",,45.0,508.89,4.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,16.9,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",,120.0,140.83,6.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,,2024-12-12 19:28:17.64746
,12.8,"Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",,50.0,256.0,,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,55.0,"Phố Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội",,100.0,550.0,5.0,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,4.5,"Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",,31.0,145.16,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,6.3,"Ngõ 379 Đội Cấn , Phường Cống Vị, Quận Ba Đình, Hà Nội",,40.0,157.5,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,13.0,"Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",,65.0,200.0,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,5.7,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",,33.0,172.73,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,20.0,"Phố Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",,70.0,285.71,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,27.0,"Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội",,96.0,281.25,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,9.95,"Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội",,33.0,301.52,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,1.8,"Ngách 15 Ngõ Gốc Đề, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",,15.0,120.0,2.0,2.0,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",4.0,,2024-12-12 19:28:17.64746
,13.3,"180, Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",,105.0,126.67,6.0,10.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,15.0,"Đường Công viên Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",,62.5,240.0,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.3,"Phố Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,35.0,151.43,5.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,,2024-12-12 19:28:17.64746
,4.0,"Phố Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",,26.0,153.85,2.0,2.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,3.5,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,16.0,218.75,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,8.7,"Phố Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,45.0,193.33,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,,2024-12-12 19:28:17.64746
,6.25,"Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",,37.0,168.92,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,,2024-12-12 19:28:17.64746
,9.5,"Phố Đồng Cổ, Phường Bưởi, Quận Tây Hồ, Hà Nội",,55.0,172.73,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,15.0,"Đường Công viên Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",,62.5,240.0,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.3,"Phố Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,35.0,151.43,5.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,,2024-12-12 19:28:17.64746
,4.0,"Phố Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",,26.0,153.85,2.0,2.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,3.5,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,16.0,218.75,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,8.7,"Phố Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,45.0,193.33,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,,2024-12-12 19:28:17.64746
,6.25,"Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",,37.0,168.92,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,,2024-12-12 19:28:17.64746
,9.5,"Phố Đồng Cổ, Phường Bưởi, Quận Tây Hồ, Hà Nội",,55.0,172.73,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,17.5,"Đường Nguyễn Viết Thứ, Xã Sơn Đồng, Huyện Hoài Đức, Hà Nội",,80.0,218.75,4.0,6.0,Đã có sổ,Nhà phố liền kề,5.0,Bàn giao thô,2024-12-12 19:28:17.64746
,3.45,"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",,35.0,98.57,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,,2024-12-12 19:28:17.64746
,85.0,"Phố Nhật Chiêu, Phường Nhật Tân, Quận Tây Hồ, Hà Nội",,109.0,779.82,6.0,8.0,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.39,"Đường La Thành, Phường Giảng Võ, Quận Ba Đình, Hà Nội",,30.0,179.67,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,,2024-12-12 19:28:17.64746
,30.8,"Ngõ 152 Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",,134.0,229.85,6.0,10.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.4,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,59.0,91.53,,4.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,13.8,"Đường Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội",,54.0,255.56,6.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,2.7,"Phố An Thắng, Phường Biên Giang, Quận Hà Đông, Hà Nội",,30.0,90.0,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,12.5,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",,117.0,106.84,6.0,10.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,12.5,"Phố Ao Sen, Phường Mộ Lao, Quận Hà Đông, Hà Nội",,40.0,312.5,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,4.2,"Vĩnh Ninh, Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà Nội",,40.0,105.0,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,,2024-12-12 19:28:17.64746
,9.8,"Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",,36.0,272.22,,3.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,15.0,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,55.0,272.73,5.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,4.2,"Vĩnh Ninh, Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà Nội",,40.0,105.0,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,,2024-12-12 19:28:17.64746
,9.8,"Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",,36.0,272.22,,3.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,15.0,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,55.0,272.73,5.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,9.3,"Đường Nguyễn Sơn, Phường Gia Thụy, Quận Long Biên, Hà Nội",,36.0,258.33,,3.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,6.6,"Ngõ 354 Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",,31.0,212.9,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,5.85,"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,40.0,146.25,4.0,3.0,Đã có sổ,Nhà phố liền kề,5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.45,"THỌ AM, Xã Liên Ninh, Huyện Thanh Trì, Hà Nội",,69.3,78.64,4.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,3.55,"Đường Thanh Lãm, Phường Phú Lãm, Quận Hà Đông, Hà Nội",,33.0,107.58,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,10.5,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",,55.0,190.91,6.0,9.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,,2024-12-12 19:28:17.64746
,4.2,"Huỳnh Cung, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",,36.0,116.67,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,6.8,"Cầu vượt Nguyễn Văn Huyên, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,36.0,188.89,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,2.05,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",,25.0,82.0,1.0,1.0,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",2.0,,2024-12-12 19:28:17.64746
,7.5,"Phố Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội",,56.0,133.93,,6.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,15.5,"Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",,55.0,281.82,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",7.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
